순번,사업구분,항공사,등록기호,형식,제작번호,제작일자,기령(년),등록일자,좌석,최대이륙중량,정치장,도입형태,ICAO,IATA
1,항공기사용사업,(재)스타항공우주,HL9494,MI-2,562817043,73.01.01,53,11.01.05,9,3550kg,예천군 감천면,구매,MI2,
2,항공기사용사업,(재)스타항공우주,HL9471,MI-2,529936096,86.09.30,39,12.04.19,9,3550kg,예천군 감천면,구매,MI2,
3,항공기사용사업,(재)스타항공우주,HL9622,MI-2,5410217047,87.04.15,39,16.01.18,9,3550kg,예천군 감천면,구매,MI2,
1,소형항공기운송사업,(주)더스카이,HL9301,BELL206B,8550,78.07.19,48,12.10.18,5,1450kg,예천군 감천면,구매,B06,
2,소형항공기운송사업,(주)더스카이,HL9699,S-76A,760295,90.10.31,35,17.06.07,14,10800lbs,예천군 감천면,구매,S76,S76
3,항공기사용사업,(주)더스카이,HL9664,S-76A,760187,84.03.21,42,20.03.12,14,10.800lbs,예천군 감천면,구매,S76,S76
4,항공기사용사업,(주)더스카이,HL9670,S-76C+,760554,03.12.01,22,20.12.21,14,11700lbs,경북 예천군 감천면 충효로 1078,구매,S76,S76
5,항공기사용사업,(주)더스카이,HL9676,S-76C,760551,03.11.25,22,21.09.27,14,11700lbs,경북 예천군 감천면 충효로 1078,구매,S76,S76
6,항공기사용사업,(주)더스카이,HL9685,S-76C+,760533,03.02.03,23,22.01.28,14,11700lbs,경북 예천군 감천면 충효로 1078,구매,S76,S76
7,항공기사용사업,(주)더스카이,HL9691,S-76C++,760682,07.10.02,18,22.11.14,14,11700lbs,경북 예천군 감천면 충효로 1078,구매,S76,S76
8,항공기사용사업,(주)더스카이,HL9692,S-76C++,760612,06.03.29,20,22.11.14,14,11700lbs,경북 예천군 감천면 충효로 1078,구매,S76,S76
9,항공기사용사업,(주)더스카이,HL9205,S-76B,760319,86.05.30,40,24.03.29,14,11700lbs,경북 예천군 감천면 충효로 1078,구매,S76,S76
10,항공기사용사업,(주)더스카이,HL9327,BELL-505,65126,18.07.26,8,25.08.28,5,1669kg,충북 단양군,구매,B505,
1,항공기사용사업,(주)미도지리정보,HL1139,T-206H,T20608992,10.06.15,16,11.05.25,6,1723kg,김포공항,구매,C206,
1,항공기사용사업,(주)스펙코어,HL1193,C-172R,17281179,06.09.01,19,14.01.07,4,2450lbs,울산공항,구매,C172,CN1
2,항공기사용사업,(주)스펙코어,HL2039,PA-34-220T,3449045,98.02.03,28,14.09.22,5,4750lbs,양양국제공항,구매,PA34,
